response time (ms), current time
124.276327, 190008.649009
123.727963, 195001.358043
123.506869, 200002.390968
125.082390, 205003.908653
126.766169, 210009.383399
126.196766, 215000.118364
125.562607, 220000.350921
124.827315, 225011.338141
124.279568, 230000.999389
123.672725, 235000.651948
123.186145, 240001.903213
122.780287, 245003.462757
125.651918, 250001.623293
126.492283, 255004.958554
126.175693, 260002.041123
125.859213, 265011.812787
125.779044, 270002.324039
125.749984, 275000.258385
125.375754, 280004.898258
124.866259, 285002.495453
124.518120, 290001.901731
124.113437, 295000.653074
124.064960, 300001.809140
123.710737, 305001.137283
124.467415, 310000.454149
125.927035, 315003.678478
125.674993, 320000.924035
125.163249, 325003.271692
125.223023, 330005.127514
124.860071, 335000.293394
124.359362, 340004.245281
124.104026, 345006.757104
124.429333, 350004.417840
124.863910, 355000.059097
124.533855, 360001.995861
124.228338, 365002.186603
124.120338, 370000.555477
123.670649, 375000.134531
123.470934, 380001.559941
123.205677, 385000.718787
123.118826, 390004.631023
122.758443, 395004.004122
122.536536, 400003.133223
122.269367, 405001.698631
122.031816, 410000.540725
121.973720, 415002.231992
122.243618, 420000.549551
122.052096, 425004.468042
121.846294, 430001.242574
121.541195, 435003.235266
121.491886, 440000.536566
121.416214, 445011.670053
121.199760, 450012.445563
120.920760, 455000.272726
120.620756, 460000.986733
121.126351, 465006.524888
121.465011, 470002.430395
121.271882, 475002.727221
121.196840, 480002.450927
121.144365, 485007.132431
120.936600, 490000.568637
120.932199, 495007.963381
121.050707, 500001.499331
122.744343, 505001.580620
123.065019, 510002.271274
122.902859, 515000.270663
123.061450, 520000.851573
122.933000, 525000.479223
122.664638, 530001.095751
122.554568, 535004.331676
122.561148, 540002.106797
122.411558, 545007.908363
122.131482, 550000.923472
122.191745, 555007.099836
122.104231, 560000.036994
121.959055, 565000.838937
121.712873, 570000.236463
121.893948, 575000.038142
123.487673, 580004.776303
123.538024, 585001.423484
123.517198, 590003.350775
123.290237, 595005.394908
123.319188, 600000.602507
123.185260, 605010.753850
123.353173, 610000.124734
123.314964, 615015.339189
123.194003, 620003.220450
122.936630, 625003.547401
123.868125, 630006.060027
126.065675, 635002.558017
126.121585, 640001.478562
126.093649, 645000.056981
126.002718, 650000.180809
125.947843, 655007.016019
125.851606, 660010.450801
125.779040, 665002.148674
125.621468, 670001.474983
125.407844, 675002.453842
125.234064, 680001.386963
125.099516, 685004.577531
125.098258, 690001.730873
125.705350, 695007.874622
125.653360, 700000.831583
125.764999, 705000.071988
125.932601, 710002.043987
126.624523, 715007.017808
128.067630, 720002.694714
128.346644, 725005.623249
128.090468, 730000.794020
128.112089, 735000.277373
127.976747, 740010.059361
128.503141, 745003.480675
128.302027, 750015.198883
128.197101, 755001.029849
129.025450, 760000.285645
129.087110, 765003.921622
129.352455, 770005.354619
129.208267, 775000.757542
129.015453, 780021.391156
128.802267, 785002.879778
128.567493, 790005.398843
128.437192, 795003.302469
128.868369, 800002.482698
128.720447, 805003.884864
128.964416, 810000.514405
128.708434, 815000.327295
128.555548, 820001.635726
128.383974, 825001.794148
128.227305, 830001.981905
128.183395, 835003.189065
128.038665, 840000.683393
127.835072, 845003.194816
127.831500, 850002.160566
127.643760, 855003.828976
127.571965, 860001.045457
127.493019, 865000.722300
127.310904, 870002.559499
127.123319, 875000.772976
126.892730, 880001.421661
126.959537, 885001.858154
127.155670, 890000.228187
127.087788, 895000.776922
126.956677, 900017.709452
126.758820, 905000.004326
126.511215, 910011.903244
126.336189, 915001.224569
126.467335, 920001.013723
126.413397, 925001.428540
126.319478, 930001.881898
126.154700, 935007.530415
126.145619, 940004.287765
126.439865, 945000.591568
126.276432, 950000.047537
126.222211, 955004.263676
126.074256, 960004.895132
125.931752, 965000.324567
125.815480, 970001.261229
125.705063, 975006.946836
125.571489, 980002.027015
125.715958, 985010.309304
125.594226, 990002.992673
125.464493, 995001.699533
125.266500, 1000000.692303
125.194082, 1005001.429042
125.084751, 1010000.480081
124.957847, 1015000.652936
124.913402, 1020000.989394
124.794929, 1025004.388204
