sim. n : 0
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 165708.000000 , 165708.000000 , 1.000000 , 21.724893 , 55.881603 , 25.803963 , 30.078083 , 0.046030 , 0.033247 , 0.033247 , 0.530982 , 0.692249 , 0.000000 
 44256.000000 , 44256.000000 , 0.000000 , 81.344643 , 77.567414 , 37.290838 , 40.276576 , 0.012293 , 0.024828 , 0.012293 , 0.196336 , 0.495135 , 0.000000 
 209961.000000 , 209961.000000 , 0.000000 , 17.145987 , 38.060325 , 3.039661 , 35.020687 , 0.058323 , 0.028555 , 0.028555 , 0.456042 , 0.510625 , 0.000000 
 209960.000000 , 209960.000000 , 0.000000 , 17.146068 , 9.965518 , 0.000000 , 9.965518 , 0.058322 , 0.100346 , 0.058322 , 0.931462 , 0.581213 , 0.000000 
sim. n : 18
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225180.000000 , 225180.000000 , 7.000000 , 15.987090 , 252.345982 , 237.325473 , 15.020618 , 0.062550 , 0.066575 , 0.062550 , 1.000000 , 0.939547 , 0.000000 
 89651.000000 , 74810.000000 , 0.000000 , 48.121546 , 28.834646 , 0.000000 , 34.554938 , 0.020781 , 0.028939 , 0.020781 , 0.332223 , 0.359038 , 0.000000 
 166247.000000 , 166247.000000 , 0.000000 , 21.654363 , 55.722030 , 25.629388 , 30.092844 , 0.046180 , 0.033230 , 0.033230 , 0.531259 , 0.694845 , 0.000000 
 44084.000000 , 44084.000000 , 0.000000 , 81.661665 , 77.199499 , 37.315244 , 39.884255 , 0.012246 , 0.025073 , 0.012246 , 0.195772 , 0.488409 , 0.000000 
 210330.000000 , 210330.000000 , 0.000000 , 17.115832 , 38.088075 , 3.063069 , 35.025457 , 0.058425 , 0.028551 , 0.028551 , 0.456442 , 0.511594 , 0.000000 
 210328.000000 , 210328.000000 , 0.000000 , 17.115994 , 9.994402 , 0.000000 , 9.994452 , 0.058425 , 0.100056 , 0.058425 , 0.934044 , 0.583925 , 0.000000 
sim. n : 19
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224349.000000 , 224349.000000 , 7.000000 , 16.046261 , 219.649549 , 204.661303 , 14.988246 , 0.062320 , 0.066719 , 0.062320 , 1.000000 , 0.934065 , 0.000000 
 89957.000000 , 74734.000000 , 0.000000 , 48.170347 , 29.081450 , 0.000000 , 35.005414 , 0.020760 , 0.028567 , 0.020760 , 0.333115 , 0.363350 , 0.000000 
 165385.000000 , 165385.000000 , 6.000000 , 21.767166 , 54.896827 , 24.961776 , 29.935318 , 0.045941 , 0.033405 , 0.033405 , 0.536031 , 0.687626 , 0.000000 
 43732.000000 , 43732.000000 , 0.000000 , 82.318730 , 76.497413 , 36.618426 , 39.878987 , 0.012148 , 0.025076 , 0.012148 , 0.194928 , 0.484446 , 0.000000 
 209109.000000 , 209109.000000 , 0.000000 , 17.215723 , 38.222725 , 3.103185 , 35.119826 , 0.058086 , 0.028474 , 0.028474 , 0.456900 , 0.509996 , 0.000000 
 209108.000000 , 209108.000000 , 0.000000 , 17.215806 , 9.987785 , 0.000000 , 9.987910 , 0.058086 , 0.100121 , 0.058086 , 0.932066 , 0.580159 , 0.000000 
sim. n : 20
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225486.000000 , 225486.000000 , 15.000000 , 15.965477 , 243.241088 , 228.255865 , 14.985355 , 0.062635 , 0.066732 , 0.062635 , 1.000000 , 0.938610 , 0.000000 
 90085.000000 , 74578.000000 , 0.000000 , 48.271496 , 29.072283 , 0.000000 , 35.117281 , 0.020716 , 0.028476 , 0.020716 , 0.330743 , 0.363748 , 0.000000 
 165968.000000 , 165968.000000 , 0.000000 , 21.690878 , 55.257957 , 25.198044 , 30.060237 , 0.046102 , 0.033267 , 0.033267 , 0.531116 , 0.692923 , 0.000000 
 43995.000000 , 43995.000000 , 2.000000 , 81.827290 , 77.732802 , 37.550199 , 40.183087 , 0.012221 , 0.024886 , 0.012221 , 0.195112 , 0.491072 , 0.000000 
 209958.000000 , 209958.000000 , 2.000000 , 17.146247 , 38.035984 , 3.039846 , 34.998038 , 0.058322 , 0.028573 , 0.028573 , 0.456182 , 0.510287 , 0.000000 
 209952.000000 , 209952.000000 , 0.000000 , 17.146737 , 10.025654 , 0.000000 , 10.025654 , 0.058320 , 0.099744 , 0.058320 , 0.931109 , 0.584698 , 0.000000 
sim. n : 21
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224547.000000 , 224547.000000 , 23.000000 , 16.032253 , 217.624319 , 202.643639 , 14.980884 , 0.062374 , 0.066752 , 0.062374 , 1.000000 , 0.934422 , 0.000000 
 89875.000000 , 74526.000000 , 0.000000 , 48.305213 , 29.039316 , 0.000000 , 35.020108 , 0.020702 , 0.028555 , 0.020702 , 0.331895 , 0.362488 , 0.000000 
 165396.000000 , 165396.000000 , 0.000000 , 21.765909 , 56.049046 , 25.900980 , 30.148066 , 0.045943 , 0.033170 , 0.033170 , 0.531784 , 0.692552 , 0.000000 
